Crown Diameter (x1),Leaf Shape (x2),Fruit Diameter (x3),Fruit Shape (x4),Stem Diameter (x5),Intermediary Fruit Color (x6),Pericarp Thickness (x7),Leaf Size (x8),Fresh Mass (x9),Fruit Weight (x10),Branch Density (x11),Corolla Color (x12),Mature Fruit Color (x13),Dry Mass (x14),Plant Height (x15),Stem Length (x16),Immature Fruit Color (x17),Corolla Diameter (x18),Fruit Length (x19),Seeds/fruit (x20),Species (y),
82.0,3,0.483,1,0.781,4,0.070,10.246,0.205,0.326,5,4,8,0.043,105.000,51.000,4,1.377,2.019,12,C. Frutescens,
89.0,3,0.558,1,0.735,4,0.057,10.899,0.138,0.230,5,4,8,0.029,118.000,28.000,4,1.372,1.468,12,C. Frutescens,
83.0,3,0.538,1,0.666,4,0.064,9.333,0.313,0.494,5,4,8,0.058,121.000,32.000,4,1.357,2.042,21,C. Frutescens,
80.0,3,0.555,1,0.752,4,0.048,11.480,0.279,0.439,5,4,8,0.051,108.000,33.000,4,1.385,2.261,21,C. Frutescens,
84.0,3,0.441,1,0.721,4,0.030,10.928,0.199,0.312,5,4,8,0.037,115.000,47.000,4,1.227,2.046,14,C. Frutescens,
93.0,1,2.833,3,1.026,2,0.168,13.003,5.300,5.550,3,2,6,0.757,137.000,77.000,2,1.710,6.614,13,C. C. Chinense,
150.0,1,1.747,3,0.981,2,0.176,15.610,3.355,3.520,3,2,6,0.456,126.000,83.000,2,1.690,5.351,8,C. C. Chinense,
133.0,1,2.285,3,1.251,2,0.198,15.837,3.862,4.020,3,2,6,0.502,194.000,97.000,2,1.653,5.364,12,C. C. Chinense,
94.0,1,1.788,3,1.038,2,0.230,14.588,4.043,4.250,3,2,6,0.517,153.000,68.000,2,1.622,5.661,14,C. C. Chinense,
116.0,1,2.506,3,0.817,2,0.206,8.836,4.981,5.290,3,2,6,0.609,142.000,48.000,2,1.598,5.070,14,C. C. Chinense,
126.0,2,0.779,3,0.953,4,0.135,7.339,0.460,0.490,5,2,3,0.061,121.000,27.000,4,1.128,1.282,4,C. C. Chinense,
100.0,2,0.776,3,0.989,4,0.144,9.876,0.400,0.450,5,2,3,0.056,94.000,44.000,4,0.968,1.266,5,C. C. Chinense,
